TitleName,TvRating,Genre,TitleId,YearMade,Score 
crazyhead,2016,Drama,TV-MA,184,0
queen of katwe,2016,Drama,PG,185,0
little boxes,2016,Drama,TV-14,186,61
deidra & laney rob a train,2017,Drama,TV-14,187,0
girlboss,2017,Drama,TV-MA,188,94
hot girls wanted: turned on,2017,Drama,TV-MA,189,0
13 reasons why,2017,Drama,TV-MA,190,99
hurricane bianca,2016,Drama,TV-MA,191,0
honeytrap,2014,Drama,NR,192,0
greenleaf,2016,Drama,TV-14,193,62
lazy eye,2016,Drama,TV-MA,194,0
like cotton twines,2016,Drama,NR,195,0
the wedding party,2016,Drama,TV-14,196,0
dave chappelle,2017,Drama,TV-MA,197,94
only for one night,2016,Drama,TV-MA,198,78
boy bye,2016,Drama,TV-MA,199,0
almost adults,2016,Drama,NR,200,0
nancy drew,2007,Drama,PG,201,0
30 rock,2012,Drama,TV-14,202,66
nurse jackie,2015,Drama,TV-MA,203,82
parks and recreation,2015,Drama,TV-14,204,94
drop dead diva,2014,Drama,TV-PG,205,0
gilmore girls,2006,Drama,TV-14,206,91
parenthood,2014,Drama,TV-14,207,79
life unexpected,2010,Drama,TV-PG,208,55
portlandia,2016,Drama,TV-14,209,62
new girl,2016,Drama,TV-14,210,91
don't trust the b---- in apartment 23,2012,Drama,TV-14,211,0
raising hope,2013,Drama,TV-14,212,73
being human (u.s.),2014,Drama,TV-14,213,58
friends with benefits,2011,Drama,TV-14,214,0
the carrie diaries,2013,Drama,TV-14,215,0
baby daddy,2016,Drama,TV-14,216,80
halt and catch fire,2016,Drama,TV-14,217,0
the angriest man in brooklyn,2014,Drama,R,218,0
5 to 7,2014,Drama,R,219,0
chef's table,2017,Drama,TV-MA,220,0
grace and frankie,2017,Drama,TV-MA,221,90
unbreakable kimmy schmidt,2016,Drama,TV-14,222,0
the get down,2017,Drama,TV-MA,223,80
sense8,2017,Drama,TV-MA,224,81
love,2017,Drama,TV-MA,225,0
bordertown,2016,Drama,TV-14,226,86
girlfriends' guide to divorce,2015,Drama,TV-14,227,63
schitt's creek,2016,Drama,TV-14,228,74
the carmichael show,2016,Drama,TV-14,229,69
chelsea,2017,Drama,TV-MA,230,0
abstract: the art of design,2017,Drama,TV-14,231,0
cooper barrett's guide to surviving life,2016,Drama,TV-14,232,0
the great british baking show,2016,Drama,TV-PG,233,94
life in pieces,2015,Drama,TV-14,234,68
crazy ex-girlfriend,2017,Drama,TV-14,235,0
fried,2015,Drama,TV-MA,236,0
the great gilly hopkins,2016,Drama,PG,237,69
the magicians,2016,Drama,TV-MA,238,89
one day at a time,2017,Drama,TV-PG,239,0
no tomorrow,2016,Drama,TV-14,240,0
hot girls wanted: turned on,2017,Drama,TV-MA,241,0
13 reasons why,2017,Drama,TV-MA,242,99
better off single,2016,Drama,TV-MA,243,0
sandy wexler,2017,Drama,TV-14,244,92
chewing gum,2017,Drama,TV-MA,245,93
the matchbreaker,2016,Drama,PG,246,79
tramps,2017,Drama,TV-MA,247,0
slam,2017,Drama,TV-MA,248,0
cheer squad,2016,Drama,TV-PG,249,61
almost adults,2016,Drama,NR,250,0
the waterboy,1998,Drama,PG-13,251,82
10 things i hate about you,1999,Drama,PG-13,252,68
grease,1978,Drama,PG,253,86
how to lose a guy in 10 days,2003,Drama,PG-13,254,56
the benchwarmers,2006,Drama,PG-13,255,77
step up,2006,Drama,PG-13,256,64
high school musical 2,2007,Drama,TV-G,257,58
twilight,2008,Drama,PG-13,258,89
coraline,2009,Drama,PG,259,95
hannah montana: the movie,2009,Drama,G,260,56
the office (u.s.),2012,Drama,TV-14,261,97
friday night lights,2010,Drama,TV-PG,262,81
starstruck,2010,Drama,TV-G,263,0
grey's anatomy,2016,Drama,TV-14,264,98
prison break,2008,Drama,TV-14,265,98
90210,2013,Drama,TV-14,266,62
gossip girl,2012,Drama,TV-14,267,96
how i met your mother,2014,Drama,TV-PG,268,94
glee,2015,Drama,TV-PG,269,92
the vampire diaries,2017,Drama,TV-14,270,91
family guy,2015,Drama,TV-MA,271,98
criminal minds,2016,Drama,TV-14,272,98
friends,2003,Drama,TV-14,273,98
mean girls 2,2011,Drama,PG-13,274,0
the secret life of the american teenager,2013,Drama,TV-14,275,81
that '70s show,2005,Drama,TV-14,276,89
gilmore girls,2006,Drama,TV-14,277,91
parenthood,2014,Drama,TV-14,278,79
heartland,2015,Drama,TV-PG,279,85
