titleName,tvRating,genre,titleId,yearMade,score
Twilight,PG-13,Drama,307,2008,89
Hannah Montana: The Movie,G,Drama,308,2009,56
The Office (U.S.),TV-14,Drama,309,2012,97
Bones,TV-14,Drama,310,2016,97
Law & Order: Special Victims Unit,TV-14,Drama,311,2015,97
Prison Break,TV-14,Drama,312,2008,98
Nurse Jackie,TV-MA,Drama,313,2015,82
NCIS,TV-14,Drama,314,2016,97
Gossip Girl,TV-14,Drama,315,2012,96
How I Met Your Mother,TV-PG,Drama,316,2014,94
Supernatural,TV-14,Drama,317,2016,95
Parks and Recreation,TV-14,Drama,318,2015,94
Glee,TV-PG,Drama,319,2015,92
The Vampire Diaries,TV-14,Drama,320,2017,91
Criminal Minds,TV-14,Drama,321,2016,98
Friends,TV-14,Drama,322,2003,98
Mean Girls 2,PG-13,Drama,323,2011,0
The Secret Life of the American Teenager,TV-14,Drama,324,2013,81
One Tree Hill,TV-14,Drama,325,2011,90
Army Wives,TV-14,Drama,326,2013,61
Gilmore Girls,TV-14,Drama,327,2006,91
Private Practice,TV-14,Drama,328,2012,88
Parenthood,TV-14,Drama,329,2014,79
Pretty Little Liars,TV-14,Drama,330,2016,96
Shameless (U.S.),TV-MA,Drama,331,2016,97
New Girl,TV-14,Drama,332,2016,91
Revenge,TV-PG,Drama,333,2015,84
Scandal,TV-14,Drama,334,2016,92
Magic Mike,R,Drama,335,2012,77
Trouble with the Curve,PG-13,Drama,336,2012,63
Orange Is the New Black,TV-MA,Drama,337,2016,98
Baby Daddy,TV-14,Drama,338,2016,80
The Night Shift,TV-14,Drama,339,2015,93
The Originals,TV-14,Drama,340,2016,74
Home,PG,Drama,341,2015,94
How to Get Away with Murder,TV-14,Drama,342,2016,95
Zootopia,PG,Drama,343,2016,97
Finding Dory,PG,Drama,344,2016,98
Sausage Party,R,Drama,345,2016,91
Skin Wars,TV-14,Drama,346,2016,69
Girlboss,TV-MA,Drama,347,2017,94
13 Reasons Why,TV-MA,Drama,348,2017,99
Felipe Neto: My Life Makes No Sense,TV-MA,Drama,349,2017,0
Cheer Squad,TV-PG,Drama,350,2016,61
Lost,TV-14,Drama,351,2010,98
Weeds,TV-MA,Drama,352,2012,85
The Tudors,TV-MA,Drama,353,2010,0
Grey's Anatomy,TV-14,Drama,354,2016,98
Lie to Me,TV-14,Drama,355,2010,89
Prison Break,TV-14,Drama,356,2008,98
Gossip Girl,TV-14,Drama,357,2012,96
Glee,TV-PG,Drama,358,2015,92
The Vampire Diaries,TV-14,Drama,359,2017,91
The Secret Life of the American Teenager,TV-14,Drama,360,2013,81
Drop Dead Diva,TV-PG,Drama,361,2014,0
Gilmore Girls,TV-14,Drama,362,2006,91
Charmed,TV-PG,Drama,363,2005,90
White Collar,TV-PG,Drama,364,2014,93
House of Cards,TV-MA,Drama,365,2016,91
Pretty Little Liars,TV-14,Drama,366,2016,96
The Killing,TV-14,Drama,367,2014,73
Shameless (U.S.),TV-MA,Drama,368,2016,97
Hart of Dixie,TV-PG,Drama,369,2014,81
Once Upon a Time,TV-PG,Drama,370,2016,98
Scandal,TV-14,Drama,371,2016,92
The Client List,TV-14,Drama,372,2013,92
Unconditional,PG-13,Drama,373,2012,0
Bates Motel,TV-14,Drama,374,2016,83
The Blacklist,TV-14,Drama,375,2016,96
The Fosters,TV-14,Drama,376,2016,73
Reign,TV-14,Drama,377,2015,79
