TitleName,YearMade,Genre,TvRating,TitleId,Score
Shameless (U.S.),2016,Drama,TV-MA,368,97
Hart of Dixie,2014,Drama,TV-PG,369,81
Once Upon a Time,2016,Drama,TV-PG,370,98
Scandal,2016,Drama,TV-14,371,92
The Client List,2013,Drama,TV-14,372,92
Unconditional,2012,Drama,PG-13,373,0
Bates Motel,2016,Drama,TV-14,374,83
The Blacklist,2016,Drama,TV-14,375,96
The Fosters,2016,Drama,TV-14,376,73
Reign,2015,Drama,TV-14,377,79
The Originals,2016,Drama,TV-14,378,74
The 100,2016,Drama,NR,379,97
Witches of East End,2014,Drama,TV-14,380,0
Bitten,2016,Drama,TV-MA,381,56
London Has Fallen,2016,Drama,R,382,96
Marvel's Jessica Jones,2015,Drama,TV-MA,383,83
Bloodline,2016,Drama,TV-MA,384,0
Grace and Frankie,2017,Drama,TV-MA,385,90
Velvet,2016,Drama,TV-14,386,0
How to Get Away with Murder,2016,Drama,TV-14,387,95
The Crown,2016,Drama,TV-MA,388,84
Jane The Virgin,2016,Drama,TV-14,389,91
Kurt Seyit & Sura,2014,Drama,TV-14,390,0
The Returned,2015,Drama,TV-14,391,0
The Girl in the Book,2015,Drama,TV-MA,392,0
Quantico,2016,Drama,TV-14,393,88
Life in Pieces,2015,Drama,TV-14,394,68
Ingobernable,2017,Drama,TV-MA,395,96
Girlboss,2017,Drama,TV-MA,396,94
13 Reasons Why,2017,Drama,TV-MA,397,99
MerlÃ­,2015,Drama,TV-PG,398,0
Greenleaf,2016,Drama,TV-14,399,62
100 Metros,2016,Drama,TV-MA,400,0
Bones,2016,Drama,TV-14,401,97
Dexter,2013,Drama,TV-MA,402,95
Leverage,2012,Drama,TV-PG,403,86
Grey's Anatomy,2016,Drama,TV-14,404,98
Lie to Me,2010,Drama,TV-14,405,89
Prison Break,2008,Comedy,TV-14,406,98
NCIS,2016,Comedy,TV-14,407,97
Burn Notice,2013,Comedy,TV-14,408,85
Breaking Bad,2013,Comedy,TV-MA,409,97
Criminal Minds,2016,Comedy,TV-14,410,98
White Collar,2014,Comedy,TV-PG,411,93
Luther,2015,Comedy,TV-14,412,69
Hawaii Five-0,2016,Comedy,TV-14,413,96
House of Cards,2016,Comedy,TV-MA,414,91
Last Man Standing,2015,Comedy,TV-PG,415,97
Revenge,2015,Comedy,TV-PG,416,84
Person of Interest,2016,Comedy,TV-14,417,93
Scandal,2016,Comedy,TV-14,418,92
Touch,2012,Comedy,TV-14,419,68
Sherlock,2016,Comedy,TV-14,420,95
Breakout Kings,2012,Comedy,TV-14,421,88
The Client List,2013,Comedy,TV-14,422,92
Arrow,2015,Comedy,TV-14,423,96
The Following,2015,Comedy,TV-14,424,0
"Drugs, Inc.",2015,Comedy,TV-14,425,0
Longmire,2016,Comedy,TV-14,426,92
Ripper Street,2016,Comedy,TV-MA,427,0
The Fall,2016,Comedy,TV-MA,428,61
Death in Paradise,2016,Comedy,TV-14,429,77
Marvel's Agents of S.H.I.E.L.D.,2016,Comedy,TV-PG,430,89
Crossing Lines,2015,Comedy,TV-14,431,66
London Has Fallen,2016,Comedy,R,432,96
Halt and Catch Fire,2016,Comedy,TV-14,433,0
Marvel's Iron Fist,2017,Comedy,TV-MA,434,98
The Honorable Woman,2014,Comedy,TV-MA,435,0
Transporter: The Series,2014,Comedy,TV-MA,436,0
Gotham,2016,Comedy,TV-14,437,85
Better Call Saul,2016,Comedy,TV-MA,438,95
